date,name,store,id,brand,price,sale_price
2022-04-02,Nolan Ryan Beef Boneless Top Loin Strip Steak (1 Steak),kroger,0022141000000,Nolan Ryan,15.99,9.97
2022-04-02,Nolan Ryan Beef Boneless Top Loin Strip Steak Value Pack (About 4 Steaks per Pack),kroger,0022141200000,Nolan Ryan,15.99,8.97
2022-04-02,Beef Select Bone-In Top Loin Strip Steak Value Pack (3-4 per Pack),kroger,0020140900000,,10.99,9.99
2022-04-02,Beef Select Bone-In Top Loin Strip Steak (About 2 Steaks per Pack),kroger,0020140700000,,10.99,
